"product_id","product_handle","product_title","variant_id","variant_title","option1","option2","option3","sku","price_egp","compare_at_price_egp","available","featured_image"
7954863554608,"pink-arrogance","Pink Arrogance",42973010559024,"50 ml","50 ml",,,,"650.00",,true,
7954863554608,"pink-arrogance","Pink Arrogance",42973010591792,"100 ml","100 ml",,,,"1000.00",,true,
7954860539952,"pink-allure","Pink Allure",42973000663088,"30 ml","30 ml",,,,"590.00",,true,
7954860539952,"pink-allure","Pink Allure",42973000695856,"50 ml","50 ml",,,,"850.00",,true,
7954860539952,"pink-allure","Pink Allure",42973000728624,"100 ml","100 ml",,,,"1400.00",,true,
7954857918512,"lost-on-you","Lost On You",42972997648432,"30 ml","30 ml",,,,"750.00",,true,
7954857918512,"lost-on-you","Lost On You",42972997681200,"50 ml","50 ml",,,,"1100.00",,true,
7954857918512,"lost-on-you","Lost On You",42972997713968,"100 ml","100 ml",,,,"1900.00",,true,
7954855362608,"aurableu","Aurableu",42972982214704,"30 ml","30 ml",,,,"700.00",,true,
7954855362608,"aurableu","Aurableu",42972982247472,"50 ml","50 ml",,,,"1050.00",,true,
7954855362608,"aurableu","Aurableu",42972982280240,"100 ml","100 ml",,,,"1750.00",,true,
7924236714032,"absolute-drunk","Absolute Drunk",42843854667824,"30 ml","30 ml",,,,"750.00",,false,
7924236714032,"absolute-drunk","Absolute Drunk",42843854700592,"50 ml","50 ml",,,,"1100.00",,false,
7924236714032,"absolute-drunk","Absolute Drunk",42843854733360,"100 ml","100 ml",,,,"1850.00",,false,
7909727961136,"bleu-exclusive","Bleu Exclusive",42805930295344,"30 ml","30 ml",,,,"750.00",,true,
7909727961136,"bleu-exclusive","Bleu Exclusive",42805930328112,"50 ml","50 ml",,,,"1100.00",,true,
7909727961136,"bleu-exclusive","Bleu Exclusive",42805930360880,"100 ml","100 ml",,,,"1900.00",,true,
7735876878384,"belle-riche","Belle Riche",42389314043952,"100 ml","100 ml",,,"P085","1150.00","1450.00",true,"https://cdn.shopify.com/s/files/1/0648/9577/8864/files/belle-riche-4.jpg?v=1757237388"
7735876878384,"belle-riche","Belle Riche",42389314076720,"50 ml","50 ml",,,"P085","750.00","1000.00",true,
7735876878384,"belle-riche","Belle Riche",42389314109488,"30 ml","30 ml",,,"P085","550.00","650.00",true,
7776920109104,"bare-glow","Bare Glow",42538958422064,"30 ml","30 ml",,,,"450.00",,true,
7776920109104,"bare-glow","Bare Glow",42538958454832,"50 ml","50 ml",,,,"650.00",,true,
7776920109104,"bare-glow","Bare Glow",42538958487600,"100 ml","100 ml",,,,"1000.00",,true,
7767390748720,"bleu-intense","Bleu Intense",42502579781680,"100 ml","100 ml",,,,"1050.00",,false,
7767390748720,"bleu-intense","Bleu Intense",42502579814448,"50 ml","50 ml",,,,"700.00",,false,
7767390748720,"bleu-intense","Bleu Intense",42502579847216,"30 ml","30 ml",,,,"500.00",,false,
7754046046256,"silk-vanilla-body-lotion","Silk Vanilla Body Lotion",42440563228720,"120ML","120ML",,,,"350.00",,false,
7735877664816,"mango-pineapple","Mango Pineapple",42389315747888,"100 ml","100 ml",,,"P100","1850.00",,true,"https://cdn.shopify.com/s/files/1/0648/9577/8864/files/Mango-Pineapple.jpg?v=1757237439"
7735877664816,"mango-pineapple","Mango Pineapple",42389315780656,"50 ml","50 ml",,,"P100","1100.00",,true,
7735877664816,"mango-pineapple","Mango Pineapple",42389315813424,"30 ml","30 ml",,,"P100","750.00",,true,
7735877533744,"vanilla-bundle","Vanilla Bundle",42418323882032,"125ML / 120 ml / 30ML","125ML","120 ml","30ML",,"1060.00","1175.00",false,
7735877533744,"vanilla-bundle","Vanilla Bundle",42418323914800,"125ML / 120 ml / 50ML","125ML","120 ml","50ML",,"1240.00","1375.00",false,
7735877533744,"vanilla-bundle","Vanilla Bundle",42500489150512,"125ML / 120 ml / 100ML","125ML","120 ml","100ML",,"1555.00","1725.00",false,
7735877500976,"drunk-gold","Drunk Gold",42389315387440,"100 ml","100 ml",,,"P095","1950.00",,true,"https://cdn.shopify.com/s/files/1/0648/9577/8864/files/Drunk-Gold.jpg?v=1757237426"
7735877500976,"drunk-gold","Drunk Gold",42389315420208,"50 ml","50 ml",,,"P095","1150.00",,true,
7735877500976,"drunk-gold","Drunk Gold",42389315452976,"30 ml","30 ml",,,"P095","750.00",,true,
7735877402672,"marshmallow-bundle","Marshmallow Bundle",42418326962224,"125ML / 50ML","125ML","50ML",,,"950.00","1250.00",true,
7735877369904,"marshmallow","Marshmallow",42440551890992,"125ML","125ML",,,"SKU-44","375.00","0.00",true,
7735877238832,"lagoon-flair","Lagoon Flair",42389314732080,"100 ml","100 ml",,,"P091","1200.00","0.00",true,"https://cdn.shopify.com/s/files/1/0648/9577/8864/files/Lagoon-Flair.jpg?v=1757237409"
7735877238832,"lagoon-flair","Lagoon Flair",42389314764848,"50 ml","50 ml",,,"P091","750.00","0.00",true,
7735877238832,"lagoon-flair","Lagoon Flair",42389314797616,"30 ml","30 ml",,,"P091","450.00","0.00",true,
7735877206064,"boujee-blush","Boujee Blush",42389314633776,"100 ml","100 ml",,,"P090","1200.00","0.00",true,"https://cdn.shopify.com/s/files/1/0648/9577/8864/files/Boujee-Blush.jpg?v=1757237407"
7735877206064,"boujee-blush","Boujee Blush",42389314666544,"50 ml","50 ml",,,"P090","700.00","0.00",true,
7735877206064,"boujee-blush","Boujee Blush",42389314699312,"30 ml","30 ml",,,"P090","500.00",,true,
7735877173296,"sweet-oud","Sweet Oud",42389314535472,"100 ml","100 ml",,,"P089","1650.00","0.00",false,
7735877173296,"sweet-oud","Sweet Oud",42389314568240,"50 ml","50 ml",,,"P089","1000.00","0.00",false,
7735877173296,"sweet-oud","Sweet Oud",42389314601008,"30 ml","30 ml",,,"P089","650.00","0.00",false,
7735876911152,"libre-desire","Libre Desire",42389314142256,"100 ml","100 ml",,,"P086","1250.00","0.00",true,"https://cdn.shopify.com/s/files/1/0648/9577/8864/files/libre-desire-1.jpg?v=1757237390"
